"abi","cab","id","name","street","zip","country:id"
"05728","39150","base.0572839150","BANCA POPOLARE DI VICENZA - SOCIETA' PER AZIONI","VIA MAREMMANA INFERIORE, 20-A/22/22-A","00012","base.it"
"05387","39150","base.0538739150","BANCA POPOLARE DELL'EMILIA ROMAGNA - SOCIETA' COOPERATIVA","VIA MAREMMANA INFERIORE, 229","00010","base.it"
"06220","39150","base.0622039150","CASSA DI RISPARMIO DI ORVIETO S.P.A.","VIALE ROMA, 146","00012","base.it"
"01030","39150","base.0103039150","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","VIA ROMA, 164/F","00012","base.it"
"01030","39151","base.0103039151","BANCA MONTE DEI PASCHI DI SIENA S.P.A.","VIA ROMA, 181/C","00012","base.it"
"01005","39150","base.0100539150","BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.)","PRESSO CENTRO COMMERCIALE COLLE FIORITO - VIA ROSATA","00012","base.it"
"01005","39151","base.0100539151","BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.)","PRESSO C.A.R. DI GUIDONIA","00012","base.it"
"02008","39157","base.0200839157","UNICREDIT, SOCIETA' PER AZIONI","VIALE ROMA, 140","00012","base.it"
"02008","39153","base.0200839153","UNICREDIT, SOCIETA' PER AZIONI","PIAZZA TRILUSSA, 28","00010","base.it"
"02008","39152","base.0200839152","UNICREDIT, SOCIETA' PER AZIONI","VIALE ROMA, 90","00012","base.it"
"02008","39155","base.0200839155","UNICREDIT, SOCIETA' PER AZIONI","VIA LAMARMORA, 8","00010","base.it"
"03133","39150","base.0313339150","CREDITO ITALIANO S.P.A.","VIALE ROMA, 140","00012","base.it"
"03133","39151","base.0313339151","CREDITO ITALIANO S.P.A.","VIA MAREMMANA INFERIORE, 46","00010","base.it"
"06290","39150","base.0629039150","CASSA DI RISPARMIO DI ROMA","VIA ROMA","00012","base.it"
